epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1351.61,0.97574,1.25321,0.98981,1.17743,0.6552,0.64865,0.59896,0.29846,0.4516,0.51351,0.38815,0.10567,1.41776,0.73991,1.85988,1.92094,0.0008516,0.0008516,0.0008516
31,1396.2,0.93872,1.15153,0.96578,1.1797,0.58912,0.67568,0.59746,0.31073,0.53008,0.6099,0.46468,0.11413,1.39193,0.72619,1.78349,1.86259,0.000812,0.000812,0.000812
32,1440.81,0.9312,1.2746,0.94912,1.16241,0.57117,0.62162,0.63598,0.29427,0.52547,0.56757,0.46529,0.10359,1.51147,0.72114,1.86267,1.92835,0.0007724,0.0007724,0.0007724
33,1485.52,0.99928,1.34194,0.94936,1.17948,0.58222,0.67568,0.67636,0.33009,0.4642,0.54054,0.47043,0.10737,1.43883,0.68878,1.8032,1.80141,0.0007328,0.0007328,0.0007328
34,1530.69,0.93723,1.18586,0.94905,1.16732,0.75111,0.7027,0.75426,0.35638,0.50255,0.54619,0.44336,0.1077,1.44788,0.68664,1.7045,1.79372,0.0006932,0.0006932,0.0006932
35,1575.21,0.9489,1.23148,0.89928,1.21122,0.72062,0.76698,0.78139,0.3665,0.64612,0.45946,0.51934,0.12483,1.50887,0.67708,1.60745,1.87743,0.0006536,0.0006536,0.0006536
36,1619.82,0.88461,1.16499,0.86692,1.13406,0.68807,0.7027,0.69299,0.34805,0.52928,0.54054,0.46538,0.13335,1.43815,0.68567,1.67195,1.80802,0.000614,0.000614,0.000614
37,1664.29,0.90642,1.31272,0.85264,1.13302,0.83619,0.69006,0.69084,0.35089,0.57176,0.48649,0.44814,0.12588,1.41404,0.69171,1.75085,1.81816,0.0005744,0.0005744,0.0005744
38,1708.8,0.87745,1.16991,0.87101,1.12863,0.74295,0.67568,0.62094,0.32802,0.59051,0.48649,0.38604,0.11413,1.44767,0.7332,1.70117,1.83208,0.0005348,0.0005348,0.0005348
39,1753.33,0.88153,1.2678,0.86663,1.13911,0.71753,0.75676,0.65203,0.35187,0.5609,0.51797,0.48039,0.13012,1.37245,0.7241,1.66324,1.757,0.0004952,0.0004952,0.0004952
40,1797.75,0.84459,1.16877,0.87837,1.14977,0.70204,0.7643,0.66252,0.34957,0.60713,0.54303,0.45164,0.13331,1.39731,0.7141,1.61591,1.77338,0.0004556,0.0004556,0.0004556
41,1841.72,0.94313,0.80461,1.17968,1.3729,0.75684,0.72973,0.6477,0.30393,0.59948,0.56637,0.42633,0.12656,1.52349,0.71166,1.66684,1.94151,0.000416,0.000416,0.000416
42,1885.44,0.9419,0.80855,1.13301,1.3748,0.76817,0.71663,0.67051,0.33223,0.59507,0.59459,0.44434,0.13604,1.50567,0.70915,1.6114,1.89542,0.0003764,0.0003764,0.0003764
43,1929.04,0.88363,0.85968,1.08751,1.37386,0.76909,0.72973,0.66894,0.39809,0.67952,0.59459,0.49252,0.14982,1.31131,0.6974,1.50496,1.75134,0.0003368,0.0003368,0.0003368
44,1972.68,0.85447,0.82856,1.04314,1.29931,0.87352,0.74684,0.71223,0.44168,0.7471,0.63893,0.58163,0.16115,1.27122,0.68035,1.53041,1.69687,0.0002972,0.0002972,0.0002972
45,2016.44,0.82333,0.78773,0.99039,1.27247,0.83344,0.72973,0.71371,0.43171,0.69053,0.56757,0.56474,0.17038,1.29954,0.67911,1.54119,1.72976,0.0002576,0.0002576,0.0002576
46,2060.18,0.86313,0.78502,0.9901,1.36443,0.84257,0.7234,0.70565,0.43472,0.73357,0.62162,0.59547,0.17354,1.31899,0.68702,1.47763,1.7691,0.000218,0.000218,0.000218
47,2104.12,0.82691,0.78817,0.9755,1.30245,0.79673,0.67568,0.69197,0.42026,0.71841,0.62162,0.57221,0.17601,1.3244,0.70716,1.4583,1.78218,0.0001784,0.0001784,0.0001784
48,2147.78,0.78336,0.82478,0.94397,1.2545,0.76811,0.67568,0.64631,0.41706,0.6905,0.62162,0.56906,0.17304,1.34727,0.71605,1.48645,1.76759,0.0001388,0.0001388,0.0001388
49,2191.54,0.75774,0.78854,0.89759,1.22367,0.76568,0.64865,0.6741,0.44905,0.77542,0.56757,0.59589,0.17916,1.26947,0.70706,1.42412,1.70587,9.92e-05,9.92e-05,9.92e-05
50,2235.32,0.71525,0.76148,0.85813,1.22908,0.78306,0.75676,0.72815,0.46577,0.76099,0.56757,0.62326,0.18519,1.23364,0.69696,1.39626,1.67374,5.96e-05,5.96e-05,5.96e-05
